p0_hero,p1_hero,p2_hero,p3_hero,p4_hero,p5_hero,p6_hero,p7_hero,p8_hero,p9_hero,radiant_win
66,78,80,17,3,39,5,55,77,19,TRUE
61,79,74,29,52,38,33,34,80,40,FALSE
74,21,34,33,31,40,80,78,66,38,TRUE
79,7,33,9,16,60,21,74,53,3,FALSE
53,80,21,40,29,33,79,52,39,34,TRUE
72,55,33,21,7,17,79,80,52,16,FALSE
40,34,80,39,33,3,79,21,43,52,TRUE
16,79,10,74,52,33,80,21,84,53,FALSE
21,79,17,78,38,58,33,7,10,52,FALSE
58,21,31,38,61,53,39,80,29,5,FALSE
8,40,45,38,33,74,52,31,81,78,TRUE
39,20,55,49,53,21,19,74,33,52,FALSE
7,34,33,21,39,79,53,81,43,25,FALSE
79,61,34,7,52,74,40,21,38,16,FALSE
5,34,80,8,66,21,49,27,39,33,TRUE
34,81,31,55,58,33,74,16,10,40,FALSE
16,52,80,29,79,40,74,39,58,60,TRUE
21,52,17,81,40,33,55,25,60,39,TRUE
60,38,34,66,79,81,52,74,5,56,FALSE
52,80,21,53,3,74,39,60,40,66,TRUE
53,39,81,40,66,33,16,79,52,11,TRUE
52,33,34,66,79,1,29,40,39,21,TRUE
33,34,16,77,25,29,61,21,53,5,TRUE
21,52,74,5,7,60,39,58,40,29,FALSE
66,29,5,78,74,17,38,55,33,40,TRUE
34,40,55,41,66,27,52,7,80,31,TRUE
55,40,23,16,79,7,39,74,33,63,TRUE
55,17,19,78,79,52,29,33,80,11,TRUE
5,10,74,21,33,79,81,58,78,52,TRUE
86,52,21,33,16,39,29,81,68,20,FALSE
81,16,74,21,52,38,79,53,66,10,TRUE
66,74,16,61,25,33,80,52,45,40,TRUE
66,60,61,40,80,5,52,77,16,29,FALSE
91,16,21,53,79,29,38,77,40,58,TRUE
40,38,80,33,20,70,91,5,37,8,TRUE
7,81,43,52,21,33,60,31,74,79,FALSE
39,3,80,29,52,74,21,63,33,31,FALSE
78,62,74,21,79,60,40,13,33,45,TRUE
8,29,40,52,43,61,33,30,38,21,TRUE
66,79,39,78,54,52,63,74,80,91,FALSE
79,10,61,55,16,29,39,74,5,81,TRUE
66,32,53,55,91,39,79,78,21,80,TRUE
33,52,34,79,62,56,16,21,53,7,FALSE
55,21,86,80,20,40,52,33,56,28,TRUE
79,52,23,56,21,66,81,74,80,91,FALSE
33,28,56,79,52,66,16,34,62,3,FALSE
79,66,19,34,21,74,40,91,38,81,FALSE
33,54,21,55,40,52,81,74,80,3,FALSE
53,62,86,80,33,16,21,34,65,40,TRUE
66,16,3,53,34,74,52,7,21,81,TRUE
66,16,21,53,3,40,33,52,80,39,FALSE
40,16,52,10,33,58,81,86,61,68,FALSE
66,55,16,80,40,25,53,81,56,21,TRUE
66,81,34,21,68,33,60,52,40,80,TRUE
66,68,34,21,81,53,62,74,13,91,TRUE
66,42,74,21,79,7,68,53,17,81,FALSE
66,31,52,16,86,33,81,34,21,5,FALSE
16,10,53,40,55,58,81,39,26,61,TRUE
53,52,56,21,16,79,33,81,1,7,TRUE
40,16,21,10,53,66,60,34,3,52,TRUE
79,33,23,21,61,66,52,43,16,86,TRUE
16,55,79,68,10,5,52,60,80,53,TRUE
55,40,23,56,79,33,53,29,5,10,TRUE
33,68,16,21,80,20,66,52,1,53,FALSE
58,44,29,52,53,68,66,21,80,81,TRUE
5,33,61,1,16,66,8,86,29,79,FALSE
74,81,79,55,52,66,77,21,30,53,TRUE
78,52,39,79,55,45,77,40,85,27,TRUE
29,55,40,16,87,58,52,56,81,38,TRUE
66,34,81,29,79,42,70,33,30,21,TRUE
66,86,81,21,39,9,34,19,29,79,FALSE
74,40,53,43,16,17,29,52,81,80,FALSE
60,21,52,81,86,8,29,53,33,79,TRUE
87,81,52,80,91,33,29,79,86,10,FALSE
33,29,55,34,85,66,52,56,3,79,TRUE
79,39,23,21,33,66,34,19,29,5,TRUE
66,78,39,29,40,27,81,33,74,91,TRUE
40,86,34,61,16,7,74,10,29,52,FALSE
58,79,16,74,39,60,10,21,52,27,FALSE
53,10,74,79,16,40,29,21,46,60,FALSE
66,62,78,21,86,58,74,39,29,5,TRUE
58,53,10,16,40,80,74,7,66,45,TRUE
16,34,18,53,40,61,66,17,80,26,FALSE
60,46,58,74,79,61,27,78,86,40,TRUE
86,1,21,31,40,29,79,25,74,46,TRUE
33,46,55,40,19,16,1,5,53,74,FALSE
40,33,78,86,46,29,52,60,80,39,TRUE
79,77,23,21,61,39,78,74,52,16,TRUE
58,62,52,16,80,66,79,86,34,46,FALSE
10,74,79,60,25,40,33,86,52,16,TRUE
53,74,78,27,66,20,33,54,52,21,TRUE
31,34,66,74,21,38,60,52,80,79,FALSE
33,47,39,79,53,60,46,55,66,26,FALSE
74,7,86,80,46,62,52,79,78,55,TRUE
45,58,34,61,5,63,16,79,33,52,FALSE
66,64,46,21,81,74,40,10,53,16,FALSE
61,79,86,54,34,81,52,13,16,10,TRUE
80,16,39,33,52,74,78,10,21,79,FALSE
16,46,53,52,33,65,89,21,29,86,TRUE
79,74,29,66,34,10,33,16,78,40,TRUE
81,80,78,25,86,74,60,58,16,52,FALSE
10,66,16,21,39,58,29,89,61,86,TRUE
52,10,40,74,20,58,34,81,68,55,TRUE
33,45,86,7,16,78,46,74,58,52,FALSE
7,79,89,68,23,12,55,66,52,86,FALSE
72,53,58,23,79,5,7,39,61,81,TRUE
34,52,66,19,21,10,53,17,29,5,FALSE
10,55,86,40,33,43,52,29,79,80,TRUE
74,10,79,21,20,34,80,16,52,58,TRUE
74,13,86,77,46,62,58,53,55,52,TRUE
10,40,38,28,33,80,74,60,20,79,TRUE
53,66,19,29,52,74,7,86,80,46,FALSE
39,52,74,28,58,34,10,21,33,79,TRUE
52,39,89,29,86,37,40,21,16,14,TRUE
79,16,34,33,23,66,86,81,29,52,FALSE
66,18,86,52,55,25,53,89,7,68,TRUE
66,63,81,74,20,7,61,52,79,55,FALSE
58,21,31,29,77,53,10,16,79,74,FALSE
34,89,39,29,27,16,79,23,53,52,FALSE
39,74,81,7,87,58,61,21,16,3,TRUE
77,78,39,33,86,41,40,53,52,16,FALSE
34,61,40,53,79,33,46,78,20,66,FALSE
77,79,38,29,13,10,7,86,74,53,FALSE
77,33,60,16,86,55,58,56,74,20,TRUE
29,40,58,53,54,33,85,46,79,66,FALSE
74,21,68,61,7,44,64,86,66,53,TRUE
89,21,29,66,33,74,58,19,53,52,FALSE
74,10,16,79,66,80,86,34,40,21,FALSE
66,16,34,39,79,52,33,38,40,10,TRUE
33,52,38,86,89,53,78,16,40,77,TRUE
40,10,52,16,5,33,79,53,86,78,FALSE
60,33,52,80,21,68,34,40,81,74,TRUE
92,86,89,29,20,61,19,34,33,40,TRUE
78,62,53,79,68,86,74,10,29,40,TRUE
78,62,74,29,79,33,86,15,55,40,FALSE
66,34,86,40,10,52,81,5,78,62,TRUE
53,81,27,25,10,40,29,86,80,85,FALSE
86,21,16,81,52,79,39,61,78,27,FALSE
33,79,13,86,89,53,27,81,52,29,TRUE
34,90,89,40,38,86,39,53,10,52,FALSE
33,49,78,27,52,29,5,89,86,10,FALSE
33,49,25,89,87,58,38,52,29,80,FALSE
74,29,89,52,90,41,86,40,55,66,TRUE
10,40,58,38,53,86,21,52,61,66,FALSE
1,52,58,16,38,60,66,39,21,5,TRUE
49,40,45,53,33,39,66,52,7,38,TRUE
39,66,78,38,33,52,40,56,61,16,FALSE
60,33,21,46,52,87,25,74,89,55,FALSE
5,21,86,74,60,10,66,61,38,52,FALSE
77,74,29,21,5,58,52,20,2,38,TRUE
77,16,21,25,86,79,29,53,74,28,FALSE
20,52,53,10,61,40,21,16,80,86,FALSE
