p0_hero,p1_hero,p2_hero,p3_hero,p4_hero,p5_hero,p6_hero,p7_hero,p8_hero,p9_hero,radiant_win
90,88,1,55,13,25,80,97,8,3,TRUE
52,80,8,86,54,85,55,15,3,81,TRUE
66,51,65,90,12,25,54,13,16,72,FALSE
90,54,8,86,80,83,39,15,3,63,FALSE
83,97,55,86,72,25,13,80,3,73,FALSE
49,39,58,54,79,88,52,72,38,51,TRUE
66,86,65,49,11,72,78,58,55,88,FALSE
64,53,13,79,89,8,55,51,101,39,FALSE
23,39,51,90,72,91,55,80,81,79,FALSE
92,80,88,86,8,73,53,55,79,52,TRUE
55,48,52,75,54,39,49,79,1,88,TRUE
46,97,75,72,86,38,1,52,92,88,FALSE
39,54,3,49,52,1,101,97,66,79,TRUE
86,73,80,25,51,41,22,55,92,3,TRUE
72,8,97,90,88,38,1,23,92,79,FALSE
13,88,54,21,79,25,72,80,51,3,FALSE
21,88,54,62,17,79,65,101,3,72,FALSE
90,54,13,1,3,52,84,72,53,63,TRUE
52,53,57,50,58,79,6,38,55,66,FALSE
48,97,53,86,21,1,79,51,88,80,TRUE
12,13,40,55,88,37,54,92,80,90,FALSE
60,54,90,8,86,13,48,80,66,79,TRUE
25,13,54,88,1,16,41,46,55,3,FALSE
46,72,54,86,88,21,34,3,53,63,FALSE
58,1,86,65,97,13,79,29,88,73,TRUE
80,97,72,79,51,40,46,53,73,86,FALSE
11,25,79,93,51,86,88,97,73,54,TRUE
92,3,17,54,6,86,76,80,51,36,TRUE
9,80,76,86,51,38,54,3,72,52,TRUE
51,65,22,63,3,17,79,25,80,54,TRUE
3,86,72,41,55,25,53,1,79,97,FALSE
86,63,55,52,13,79,91,14,62,18,TRUE
88,79,8,53,72,87,55,73,46,3,TRUE
97,88,51,63,101,23,53,72,16,79,FALSE
63,39,25,73,79,55,72,51,69,75,FALSE
65,69,52,17,80,13,51,86,72,92,TRUE
49,54,39,52,90,80,97,8,66,16,TRUE
51,55,12,65,86,72,18,90,97,80,FALSE
91,55,80,86,81,97,11,6,79,92,FALSE
55,63,8,51,101,92,80,34,79,97,TRUE
34,51,88,83,53,23,79,62,80,90,FALSE
25,53,80,88,49,86,34,72,51,55,TRUE
88,48,83,63,79,73,54,97,86,90,TRUE
52,53,49,11,3,72,80,13,79,51,FALSE
65,27,64,8,72,51,80,81,91,90,FALSE
39,51,72,7,79,17,54,86,53,66,FALSE
25,8,80,88,97,72,55,11,86,64,FALSE
12,55,53,79,90,88,62,54,86,13,FALSE
83,53,70,64,97,81,62,13,86,91,FALSE
101,51,55,63,73,81,90,52,88,72,FALSE
55,25,23,79,1,92,63,51,88,73,FALSE
8,79,64,49,80,88,72,39,55,52,TRUE
64,97,55,73,25,80,16,49,86,9,FALSE
80,16,97,52,9,92,39,51,55,73,FALSE
86,52,65,6,46,79,81,72,91,92,FALSE
39,54,97,25,92,86,90,13,72,65,TRUE
79,6,52,51,73,86,55,49,100,72,FALSE
55,80,88,91,81,38,49,79,25,11,FALSE
90,63,55,51,97,39,80,52,18,92,FALSE
21,8,1,79,51,101,39,55,16,72,FALSE
13,72,8,86,92,91,97,88,80,1,TRUE
87,73,55,46,51,80,86,97,8,66,TRUE
88,48,39,51,79,80,90,97,55,86,FALSE
92,81,46,72,91,55,16,49,86,10,FALSE
65,16,49,92,1,86,51,52,72,73,TRUE
97,75,53,49,72,23,101,79,51,8,TRUE
75,1,97,88,46,18,86,49,92,56,FALSE
51,55,75,86,72,97,52,3,49,48,FALSE
79,88,49,21,1,91,55,97,8,60,FALSE
92,39,73,88,80,55,86,46,8,72,TRUE
83,72,93,86,55,97,3,64,80,54,TRUE
52,92,34,72,79,86,97,8,55,53,TRUE
92,54,49,72,86,38,84,70,52,80,FALSE
79,16,39,80,8,72,13,58,51,90,TRUE
79,34,53,8,25,88,67,55,64,92,FALSE
65,66,1,79,53,72,39,88,55,64,TRUE
23,80,7,92,64,52,55,81,57,91,TRUE
37,80,49,51,64,88,30,72,97,52,FALSE
45,1,79,16,80,12,33,90,39,3,FALSE
79,7,80,63,34,46,3,51,55,72,FALSE
88,72,39,86,62,50,40,73,55,97,TRUE
66,38,81,55,91,48,88,65,25,92,TRUE
97,66,44,21,53,79,72,16,80,39,TRUE
88,80,23,79,90,48,46,66,55,3,TRUE
88,65,73,48,92,25,72,86,49,55,TRUE
23,80,27,7,55,97,90,12,86,51,FALSE
66,63,86,65,55,92,72,88,52,7,FALSE
81,93,91,55,90,64,92,73,80,88,TRUE
51,1,55,64,79,88,11,3,52,97,TRUE
91,81,39,53,8,97,58,73,86,80,FALSE
64,36,3,49,15,88,72,69,51,75,FALSE
80,17,58,51,79,92,55,23,72,26,FALSE
65,64,49,92,10,55,52,79,89,90,TRUE
49,79,72,51,61,85,86,54,47,13,FALSE
92,10,17,55,86,48,13,90,27,53,TRUE
3,41,76,55,90,54,66,51,13,79,TRUE
25,64,54,80,13,78,55,79,28,90,TRUE
12,60,80,21,90,88,1,23,55,3,FALSE
21,64,54,80,78,79,38,88,55,6,TRUE
92,80,49,8,86,66,88,72,51,53,FALSE
25,86,1,97,21,5,55,73,51,85,FALSE
79,23,1,38,52,25,72,88,80,21,FALSE
60,67,55,92,64,88,79,72,53,74,TRUE
88,90,12,72,51,23,48,97,64,79,FALSE
8,3,97,86,61,17,90,54,27,80,FALSE
65,58,44,91,80,18,72,97,7,90,FALSE
39,81,51,90,91,79,64,54,55,23,FALSE
91,63,65,46,88,33,79,101,23,8,FALSE
63,80,88,79,51,90,93,34,52,54,TRUE
25,64,54,80,51,92,41,23,55,3,TRUE
79,65,45,72,90,87,73,55,13,3,FALSE
88,72,46,65,52,79,64,67,55,39,TRUE
58,65,72,37,3,87,73,80,13,75,FALSE
88,91,38,72,69,65,48,46,55,87,TRUE
3,80,37,72,90,7,48,74,79,55,FALSE
90,101,51,16,72,17,52,54,55,79,TRUE
80,64,23,55,79,97,72,66,3,44,TRUE
64,65,55,48,46,91,63,88,81,68,TRUE
67,83,55,92,38,79,64,56,54,51,FALSE
58,54,64,49,17,80,86,72,88,8,TRUE
17,51,73,79,64,97,84,90,80,48,FALSE
13,86,51,80,73,79,53,41,39,52,TRUE
3,73,97,53,58,46,86,90,51,72,FALSE
90,8,17,88,63,85,72,86,80,13,FALSE
30,62,72,83,51,52,54,80,79,39,TRUE
12,86,33,90,72,97,25,79,73,65,TRUE
81,63,79,55,91,66,54,29,21,65,TRUE
79,51,65,58,73,8,78,88,52,80,TRUE
83,39,62,3,72,90,73,74,88,80,TRUE
81,93,63,79,91,17,92,65,54,25,TRUE
21,23,97,63,79,88,80,65,73,52,FALSE
46,20,48,55,26,86,72,35,100,39,FALSE
73,53,72,54,3,39,79,64,51,44,TRUE
13,92,97,88,72,39,23,79,53,64,FALSE
1,86,80,66,65,12,97,90,53,21,TRUE
87,89,55,3,13,88,64,49,54,17,TRUE
88,80,13,1,79,25,3,97,73,54,TRUE
72,53,25,81,91,58,9,80,97,3,FALSE
86,17,51,72,55,88,53,3,49,73,TRUE
25,64,54,80,13,92,67,53,51,3,TRUE
87,69,65,3,13,92,64,67,55,97,FALSE
58,49,55,91,44,38,67,88,80,92,TRUE
65,12,64,55,90,66,80,88,49,39,TRUE
39,80,21,88,79,90,63,65,92,73,TRUE
17,8,55,88,39,51,67,101,80,92,TRUE
23,67,80,101,79,55,49,57,39,51,FALSE
23,67,8,79,52,55,72,69,75,51,TRUE
51,73,79,72,92,23,48,55,88,90,FALSE
52,55,88,92,80,23,72,51,86,25,TRUE
93,72,92,79,52,23,63,55,64,86,FALSE
73,97,90,51,86,64,72,55,38,88,FALSE
88,54,17,101,34,78,72,3,13,16,TRUE
91,51,79,81,72,58,39,54,80,86,TRUE
88,63,39,51,90,60,23,79,72,25,FALSE
34,31,80,86,97,64,55,65,73,79,FALSE
88,80,13,63,90,51,3,46,52,73,FALSE
90,38,72,80,88,79,93,65,44,25,TRUE
90,17,25,54,80,92,51,38,91,70,TRUE
64,65,26,67,55,87,13,80,88,1,FALSE
13,72,55,90,3,79,97,66,80,44,FALSE
92,54,17,83,90,88,72,64,80,8,TRUE
25,79,78,72,51,8,38,80,86,90,TRUE
88,54,72,101,92,58,63,65,86,80,TRUE
79,60,52,55,1,97,6,88,90,69,FALSE
38,67,101,40,23,51,86,80,55,52,FALSE
23,65,75,80,64,97,49,88,90,11,FALSE
49,80,79,8,25,58,67,51,23,92,FALSE
72,53,52,51,79,65,39,12,86,101,TRUE
92,72,97,51,86,25,79,73,80,55,FALSE
55,51,17,79,54,49,90,72,88,97,FALSE
88,92,52,80,72,3,6,38,53,66,TRUE
1,53,90,97,92,55,67,69,88,79,FALSE
97,90,44,88,80,66,72,39,92,62,FALSE
58,72,21,79,65,39,90,54,86,53,FALSE
13,66,54,21,53,64,10,39,86,55,TRUE
48,90,65,97,21,55,46,25,79,80,TRUE
64,23,79,80,8,78,25,72,13,3,TRUE
23,97,79,90,63,86,46,48,33,55,FALSE
88,1,39,79,92,65,53,90,69,97,TRUE
101,11,7,51,23,49,79,55,92,72,FALSE
33,80,54,86,92,17,8,90,79,39,TRUE
65,58,12,23,64,79,72,78,62,66,FALSE
79,10,23,51,66,65,88,13,72,86,TRUE
86,66,1,97,80,90,72,21,92,53,FALSE
88,54,39,72,86,65,3,52,51,73,TRUE
97,58,73,52,80,3,39,53,77,72,TRUE
66,72,78,86,51,25,88,73,55,17,TRUE
67,90,97,65,79,49,66,69,86,53,FALSE
64,65,49,72,79,80,23,92,52,88,TRUE
86,92,54,80,39,44,3,97,53,33,FALSE
48,97,92,54,79,58,65,39,86,72,TRUE
90,80,13,88,48,72,97,66,8,79,TRUE
49,73,92,65,79,97,23,37,86,8,TRUE
51,72,90,3,23,48,88,92,80,46,TRUE
67,64,80,79,60,1,97,88,55,3,FALSE
79,72,38,62,66,88,81,51,90,91,FALSE
93,81,55,91,90,86,10,23,21,66,TRUE
63,80,97,3,25,65,66,21,53,44,TRUE
54,39,93,79,86,18,65,72,90,91,TRUE
91,66,44,49,51,84,5,78,65,80,TRUE
54,65,11,25,51,86,89,55,39,75,FALSE
6,66,3,97,9,65,92,8,86,80,FALSE
86,89,55,13,52,66,76,39,3,54,TRUE
86,80,65,8,90,55,67,92,51,40,TRUE
64,55,80,8,86,48,93,25,51,79,FALSE
91,49,46,53,90,79,97,73,80,25,TRUE
79,88,80,66,44,16,41,21,55,3,FALSE
88,51,53,92,72,90,80,79,97,44,TRUE
86,55,93,92,48,21,66,23,72,5,FALSE
65,58,63,73,7,79,80,52,92,28,TRUE
92,13,86,8,73,55,41,64,90,39,TRUE
73,51,90,92,23,52,88,79,8,69,TRUE
86,63,54,52,13,38,91,3,53,81,FALSE
92,39,25,18,49,73,63,75,55,51,TRUE
97,79,90,80,23,52,89,55,13,3,TRUE
66,27,93,80,72,90,73,34,86,97,TRUE
86,66,97,49,80,17,12,55,88,90,FALSE
88,65,72,79,56,38,54,55,13,75,TRUE
13,86,97,1,66,90,20,65,48,53,TRUE
63,23,65,79,25,26,39,53,88,72,FALSE
51,88,17,48,3,80,74,90,71,79,TRUE
63,23,65,79,25,26,39,53,88,72,FALSE
93,51,48,79,40,101,72,65,86,46,FALSE
90,13,80,79,48,73,51,97,86,52,TRUE
65,79,72,48,25,88,12,90,17,51,FALSE
76,65,8,79,64,86,72,39,97,91,TRUE
85,79,92,74,72,86,44,55,39,90,FALSE
3,64,23,80,55,79,74,63,72,52,TRUE
48,52,65,97,79,86,17,90,54,72,TRUE
92,49,46,53,88,51,55,79,23,63,TRUE
49,72,86,51,90,64,39,79,55,1,TRUE
80,8,64,21,55,25,73,46,53,79,FALSE
97,66,73,21,80,86,55,1,13,25,TRUE
86,99,80,46,52,3,25,72,39,54,FALSE
46,72,8,79,88,23,3,86,55,73,FALSE
79,55,64,23,72,39,1,97,7,90,TRUE
88,65,39,72,86,49,80,51,79,52,TRUE
88,23,39,92,80,79,55,44,91,90,TRUE
13,41,55,90,26,79,65,25,67,53,FALSE
72,55,66,23,86,79,64,8,13,56,FALSE
25,79,51,49,63,86,54,39,92,55,FALSE
3,39,65,88,72,51,90,54,86,53,FALSE
90,72,60,92,55,86,88,80,51,93,TRUE
64,8,80,72,79,58,65,55,3,73,TRUE
41,51,22,90,92,16,54,46,53,3,FALSE
90,54,13,56,20,83,72,14,86,55,FALSE
63,92,65,23,79,3,13,80,51,72,TRUE
88,73,39,92,53,90,12,3,97,80,TRUE
90,80,54,38,79,92,73,46,65,3,TRUE
26,66,80,51,8,79,54,17,63,25,FALSE
87,13,65,72,88,49,90,67,86,97,TRUE
90,88,38,72,53,79,66,55,13,19,TRUE
97,66,25,1,54,79,53,38,16,72,TRUE
90,39,80,72,88,63,66,79,23,51,TRUE
16,80,17,54,3,44,97,55,53,86,TRUE
23,79,55,12,83,86,69,80,64,13,FALSE
91,39,55,81,66,33,49,65,8,79,TRUE
16,41,46,65,3,54,86,64,78,53,TRUE
52,17,54,49,64,75,1,46,55,3,TRUE
86,72,64,55,97,51,92,40,73,67,FALSE
51,86,91,81,63,90,39,69,92,16,TRUE
39,88,1,86,55,92,72,8,97,64,FALSE
92,44,53,97,25,66,86,51,1,80,FALSE
97,91,90,62,19,101,81,53,46,88,FALSE
92,26,53,54,72,86,33,46,97,80,TRUE
26,65,38,72,88,90,54,17,20,56,TRUE
79,8,88,13,55,101,80,38,72,86,FALSE
86,72,39,21,52,92,48,62,97,79,TRUE
19,67,92,86,80,97,66,73,21,53,FALSE
39,58,73,79,80,66,72,13,25,51,FALSE
86,73,88,53,97,92,52,12,39,72,TRUE
13,79,72,23,38,90,17,97,88,63,FALSE
49,66,23,79,65,13,92,64,53,54,TRUE
66,97,53,18,86,39,91,81,90,51,FALSE
90,65,97,7,12,52,13,72,79,54,FALSE
8,79,72,13,66,82,88,46,55,90,FALSE
79,66,55,13,1,51,92,32,86,53,FALSE
64,80,46,72,79,25,54,97,86,69,TRUE
58,65,63,3,51,25,13,72,62,86,FALSE
40,80,65,8,34,67,90,72,3,51,TRUE
62,72,92,88,17,79,53,73,21,23,TRUE
54,17,86,97,52,83,72,13,92,21,FALSE
88,38,80,79,1,8,66,72,52,54,TRUE
66,72,21,25,51,73,97,92,53,90,TRUE
91,51,87,81,80,83,39,65,3,63,FALSE
10,101,80,79,97,63,72,51,92,17,FALSE
80,97,58,86,54,46,3,72,51,25,FALSE
90,54,80,52,49,93,72,92,86,51,TRUE
81,72,46,86,80,91,63,51,88,73,FALSE
40,72,88,51,53,11,23,92,83,79,TRUE
83,72,21,92,55,58,80,17,40,54,TRUE
51,39,35,86,55,88,72,25,92,53,FALSE
63,65,86,73,90,101,54,53,39,88,FALSE
79,88,39,8,21,51,66,72,86,80,FALSE
91,49,39,53,90,54,21,92,51,64,TRUE
78,66,86,54,72,79,23,80,63,52,TRUE
49,72,86,55,83,16,8,17,54,90,TRUE
86,17,54,80,25,85,76,39,3,72,TRUE
13,54,8,53,86,83,39,55,3,48,FALSE
51,72,88,39,92,90,53,38,48,79,FALSE
75,44,46,65,3,80,54,88,38,79,FALSE
83,23,65,86,72,12,90,97,51,3,FALSE
87,80,38,72,88,55,65,21,52,8,TRUE
90,38,53,72,88,58,65,55,3,46,FALSE
88,13,86,54,72,79,65,55,3,46,TRUE
64,79,23,80,8,51,3,58,53,10,FALSE
79,89,55,90,6,53,49,88,36,66,TRUE
75,64,54,17,49,29,52,79,1,33,TRUE
98,63,79,52,23,97,92,86,88,73,FALSE
23,25,86,29,54,98,69,62,83,49,TRUE
49,98,79,23,25,13,66,10,86,53,FALSE
44,52,55,3,39,72,54,97,5,92,FALSE
49,65,66,73,86,88,80,68,20,1,FALSE
17,40,55,66,63,58,38,79,80,48,TRUE
27,29,49,36,33,72,53,13,86,68,FALSE
90,78,21,72,88,80,20,53,49,66,FALSE
5,4,72,61,93,23,83,79,51,80,TRUE
20,8,80,86,72,23,79,3,65,69,FALSE
3,76,83,88,72,49,92,41,68,53,TRUE
58,64,65,10,55,49,72,88,8,86,TRUE
12,53,90,13,79,85,76,45,3,72,FALSE
39,90,67,86,51,88,49,65,8,87,FALSE
89,54,71,53,86,33,3,49,51,63,TRUE
88,64,17,48,55,49,72,87,51,86,FALSE
79,72,73,65,90,97,66,32,91,62,FALSE
39,32,16,51,91,79,55,48,17,90,TRUE
7,39,55,90,72,80,20,93,53,66,FALSE
72,13,3,55,52,75,49,51,54,64,TRUE
20,49,65,8,3,53,52,54,55,51,TRUE
54,25,39,88,64,51,38,79,53,44,TRUE
67,88,23,79,55,12,13,90,80,87,TRUE
88,1,54,39,90,16,41,46,53,3,FALSE
38,64,55,48,53,23,79,72,88,51,FALSE
10,66,55,86,89,88,49,46,33,90,FALSE
8,80,64,88,51,55,86,90,49,17,FALSE
48,25,55,13,3,72,86,51,101,97,FALSE
53,49,26,61,87,6,86,17,88,48,TRUE
55,86,39,10,16,23,72,79,26,51,TRUE
90,92,18,49,69,55,5,73,72,85,FALSE
51,92,73,93,88,64,67,55,49,79,TRUE
23,3,92,55,12,69,20,49,51,66,TRUE
3,48,39,55,83,88,66,52,79,80,FALSE
64,12,23,55,90,8,48,66,80,20,FALSE
88,90,97,73,53,1,62,66,51,20,FALSE
49,54,79,9,25,92,41,13,53,3,TRUE
66,52,38,72,80,83,75,51,53,48,FALSE
89,72,86,65,83,21,39,79,63,54,TRUE
66,67,49,92,55,88,34,13,48,79,TRUE
86,89,55,66,38,73,54,88,53,25,TRUE
83,39,62,3,72,86,80,37,8,90,FALSE
64,23,55,18,3,86,72,13,92,51,FALSE
52,23,17,53,79,39,72,5,21,83,FALSE
89,72,86,51,88,20,67,97,65,79,TRUE
89,72,27,65,86,44,83,79,63,10,TRUE
58,79,56,93,51,88,89,68,55,72,FALSE
27,65,53,3,48,49,10,88,55,79,FALSE
3,92,51,72,49,75,79,17,55,54,TRUE
79,54,49,64,53,86,93,83,55,32,FALSE
73,79,92,51,93,57,49,53,54,5,FALSE
79,17,53,66,44,49,54,88,90,55,TRUE
88,80,46,21,87,10,64,23,79,55,TRUE
64,53,73,16,72,58,91,13,51,81,TRUE
92,16,76,21,72,5,51,55,7,73,TRUE
86,38,49,66,72,92,16,21,48,53,FALSE
88,80,66,63,20,97,90,54,86,62,FALSE
49,66,15,83,65,8,54,64,53,30,TRUE
55,3,66,48,62,88,80,46,21,52,FALSE
65,93,81,68,52,13,92,8,64,80,FALSE
16,49,46,53,3,23,86,88,51,54,TRUE
72,51,97,3,58,25,23,9,88,53,FALSE
85,76,45,3,72,86,49,9,53,79,TRUE
46,66,79,65,1,72,23,64,54,52,FALSE
91,49,4,61,90,92,76,65,58,18,TRUE
26,66,48,89,51,83,55,64,49,72,TRUE
58,38,53,86,1,54,39,88,20,3,FALSE
84,92,55,8,23,80,54,90,79,51,TRUE
64,92,33,54,49,86,89,83,62,72,FALSE
8,77,92,86,72,71,101,51,54,22,FALSE
3,55,53,90,6,86,33,88,54,46,FALSE
64,69,11,65,83,79,73,3,39,88,TRUE
79,55,78,25,72,20,92,51,46,28,FALSE
88,55,8,80,52,20,89,83,53,17,TRUE
86,49,55,3,72,25,80,92,18,51,TRUE
64,33,49,90,80,3,89,83,62,72,FALSE
72,86,88,21,23,64,92,51,49,89,FALSE
26,66,80,8,53,73,88,49,86,51,TRUE
73,55,50,79,72,21,17,51,69,9,TRUE
16,92,51,72,97,91,64,55,19,49,TRUE
39,55,86,29,72,14,36,8,68,79,FALSE
17,79,99,72,90,54,26,13,58,71,FALSE
93,58,34,79,53,83,39,56,64,55,FALSE
92,88,76,63,21,79,52,8,13,49,TRUE
64,60,55,52,72,97,79,39,92,73,FALSE
91,46,81,88,38,97,92,6,83,49,FALSE
49,86,39,54,64,25,88,16,72,53,FALSE
87,86,33,72,49,76,92,18,21,63,FALSE
80,7,9,34,79,46,86,36,8,64,TRUE
53,92,21,87,49,88,55,72,52,17,TRUE
66,13,55,79,72,80,97,16,73,90,TRUE
46,101,88,55,72,65,48,78,92,86,FALSE
13,41,69,92,79,54,86,51,53,12,TRUE
49,54,55,88,92,101,79,53,17,63,TRUE
63,85,73,97,86,69,25,99,92,72,TRUE
3,46,65,48,88,54,79,29,92,72,FALSE
49,83,80,44,90,21,92,67,93,86,FALSE
13,73,78,86,92,49,72,53,79,25,TRUE
1,13,53,3,86,79,89,49,55,52,TRUE
85,52,83,80,3,19,91,55,93,53,FALSE
1,62,51,66,20,97,90,44,86,53,FALSE
58,64,55,10,69,54,90,93,53,88,TRUE
97,90,32,91,62,87,72,55,39,88,FALSE
1,83,53,80,3,72,64,49,54,17,TRUE
90,23,17,54,3,64,66,55,89,8,FALSE
33,92,72,51,4,83,76,31,20,17,FALSE
88,10,90,49,55,58,27,72,53,51,FALSE
81,51,39,68,91,87,72,65,46,20,FALSE
20,92,55,89,28,52,64,80,54,17,FALSE
13,40,79,54,53,31,72,65,3,46,TRUE
88,91,38,81,72,52,79,55,76,49,TRUE
39,72,5,65,83,54,86,51,80,20,TRUE
67,3,22,53,92,39,72,20,55,83,FALSE
3,74,67,51,92,25,79,54,13,80,FALSE
81,51,13,91,33,26,66,89,49,65,TRUE
51,89,64,52,63,92,79,48,46,80,FALSE
3,83,48,37,51,80,92,86,54,38,FALSE
86,60,13,3,54,58,80,48,88,49,TRUE
16,12,37,53,90,20,89,83,62,11,TRUE
91,89,21,83,32,57,39,49,8,5,FALSE
54,72,55,92,88,58,73,39,79,65,FALSE
83,48,53,79,23,8,39,54,3,92,TRUE
83,72,65,79,13,17,86,78,80,92,TRUE
33,3,72,47,49,87,54,63,38,20,TRUE
8,80,79,9,25,78,92,64,55,23,TRUE
88,51,39,91,44,54,83,13,65,5,FALSE
55,26,92,80,21,17,23,79,15,25,FALSE
12,86,93,55,64,88,49,83,53,72,TRUE
51,92,54,87,80,23,3,49,90,53,TRUE
9,79,20,46,65,101,88,72,39,62,FALSE
3,45,55,66,72,74,86,54,76,51,FALSE
86,80,8,51,66,42,39,15,92,71,TRUE
31,89,39,65,16,86,93,90,55,23,TRUE
13,53,42,68,79,72,33,3,39,92,FALSE
33,82,49,65,92,80,93,20,54,51,TRUE
75,88,53,79,72,31,54,60,65,16,FALSE
65,80,8,84,25,87,72,88,13,63,FALSE
17,40,54,83,55,85,37,80,89,3,TRUE
8,80,79,63,52,73,55,64,76,88,TRUE
33,89,10,65,3,12,79,51,54,64,TRUE
97,79,90,44,55,38,48,66,80,20,FALSE
33,3,72,55,47,51,5,1,83,80,TRUE
83,64,65,48,23,37,10,88,51,79,TRUE
39,90,54,86,53,33,3,72,51,76,TRUE
13,72,87,53,79,83,64,10,38,89,FALSE
92,66,67,55,78,39,90,73,91,97,FALSE
16,49,10,55,64,70,20,38,53,84,TRUE
12,88,13,92,3,52,97,72,8,79,TRUE
16,49,1,53,90,54,46,3,88,92,FALSE
38,92,54,87,80,97,79,51,53,72,TRUE
54,92,2,38,79,72,89,55,39,86,FALSE
23,86,34,80,51,88,66,35,21,53,FALSE
51,92,54,64,80,19,3,52,63,53,TRUE
90,87,72,55,49,1,66,62,51,20,TRUE
89,54,86,65,71,91,81,31,39,25,FALSE
88,62,97,58,44,54,92,53,23,16,TRUE
88,92,55,23,72,8,80,79,25,13,TRUE
30,89,55,46,75,49,54,16,51,87,TRUE
89,64,79,55,97,22,3,9,65,53,FALSE
17,20,72,86,53,3,49,35,55,83,FALSE
83,47,51,72,3,88,62,58,97,10,TRUE
3,66,72,97,49,8,92,79,80,23,TRUE
66,53,43,18,8,27,40,54,25,80,FALSE
70,73,52,79,61,16,88,72,80,92,TRUE
92,25,54,51,17,34,79,80,66,38,FALSE
90,82,73,55,13,88,92,54,87,80,FALSE
52,73,53,79,49,3,92,55,23,67,FALSE
79,25,65,49,69,58,72,55,99,20,FALSE
34,79,66,53,49,20,28,55,90,42,FALSE
90,13,80,1,3,46,40,54,88,55,FALSE
72,55,83,93,79,49,88,90,53,69,FALSE
72,89,20,55,46,88,54,68,86,62,FALSE
78,79,25,53,54,58,80,55,3,39,FALSE
9,88,80,79,72,58,65,55,48,20,FALSE
5,67,13,25,65,87,89,53,46,20,TRUE
83,47,31,79,72,76,86,66,49,53,TRUE
97,66,14,87,53,86,92,55,23,15,TRUE
23,79,92,72,69,33,3,44,55,97,FALSE
58,14,1,55,86,53,5,85,52,45,FALSE
89,1,5,55,83,3,34,17,92,54,TRUE
62,84,71,100,98,33,51,19,49,91,TRUE
8,80,79,10,25,7,9,22,55,86,FALSE
58,47,55,99,3,11,5,72,21,85,FALSE
90,55,13,88,67,38,72,86,53,20,TRUE
39,1,66,55,64,72,22,51,79,41,FALSE
72,23,5,21,83,34,92,53,54,52,TRUE
46,80,79,9,25,3,66,49,97,13,TRUE
33,87,54,55,72,9,79,25,53,1,TRUE
79,101,7,97,54,92,89,17,53,86,FALSE
93,79,90,80,23,92,58,73,65,51,TRUE
88,72,14,92,9,1,3,39,55,64,TRUE
90,86,54,39,23,64,93,66,72,55,TRUE
72,55,67,68,79,66,36,39,88,51,FALSE
49,66,73,83,65,20,89,17,54,79,TRUE
79,88,65,49,98,20,87,72,80,13,FALSE
93,84,63,21,79,90,53,13,86,54,FALSE
33,89,18,53,79,39,90,12,86,51,FALSE
89,72,55,39,86,1,3,13,53,92,FALSE
27,91,81,72,38,58,89,8,55,52,TRUE
55,72,89,64,50,90,86,54,29,17,TRUE
52,13,34,54,79,101,89,11,9,83,TRUE
5,67,13,53,21,75,64,49,54,17,TRUE
49,53,51,72,20,88,35,68,86,55,FALSE
86,49,10,33,90,87,39,53,3,54,FALSE
90,13,81,33,91,46,48,66,80,20,TRUE
39,53,88,72,86,3,80,55,64,46,TRUE
51,3,72,79,46,47,86,80,88,89,FALSE
33,72,86,25,80,73,39,53,92,79,TRUE
44,13,51,66,91,63,53,64,39,79,TRUE
16,79,65,21,80,86,67,23,92,51,TRUE
34,68,86,88,54,92,16,50,46,72,FALSE
52,55,38,86,72,83,20,76,97,11,TRUE
79,73,64,101,55,51,34,53,92,39,TRUE
17,86,88,72,21,64,8,55,73,79,FALSE
52,53,39,88,63,86,92,51,23,89,TRUE
12,90,55,37,3,71,101,88,33,31,FALSE
58,39,65,86,72,92,68,93,54,76,TRUE
64,55,49,73,79,88,72,13,86,62,FALSE
79,101,63,25,65,90,17,86,54,80,FALSE
64,79,54,72,55,65,92,81,21,53,TRUE
71,33,88,15,31,54,3,23,51,92,FALSE
72,78,8,92,79,3,84,80,43,73,FALSE
73,53,90,72,3,48,46,88,51,92,FALSE
20,33,80,45,72,86,49,66,65,36,TRUE
63,66,3,21,73,54,13,55,17,79,FALSE
8,73,25,51,79,46,16,92,55,63,FALSE
39,66,16,54,11,73,13,86,55,83,TRUE
33,97,83,3,72,93,79,90,80,23,FALSE
11,83,72,51,5,12,86,53,93,92,FALSE
68,2,14,53,22,13,79,90,54,72,FALSE
23,31,91,64,81,79,51,53,101,42,TRUE
86,91,49,53,8,1,51,79,23,25,TRUE
80,53,23,79,66,86,88,89,93,72,FALSE
86,17,72,64,63,54,39,21,51,92,TRUE
9,76,54,25,86,64,39,92,44,51,TRUE
65,5,48,85,49,92,16,23,21,72,FALSE
51,58,79,17,73,40,83,36,65,49,TRUE
88,54,13,55,5,39,72,92,34,86,FALSE
25,88,65,54,72,51,92,67,49,86,FALSE
88,13,55,67,79,49,72,86,53,83,TRUE
65,63,49,7,75,92,16,53,39,52,TRUE
91,8,69,49,86,21,39,79,53,73,TRUE
5,67,13,55,21,88,39,65,79,9,FALSE
51,53,66,72,86,67,23,16,55,64,FALSE
71,72,79,9,52,31,54,46,53,21,FALSE
64,11,55,54,79,39,72,92,33,31,FALSE
67,33,92,51,5,86,89,55,46,25,FALSE
52,64,53,10,89,73,62,49,72,79,TRUE
83,64,55,12,39,89,57,92,49,86,TRUE
